Designator,Mid X,Mid Y,Rotation,Layer
BZ1,150.0,-62.700001,90.0,top
D1,74.1135,-53.857103,240.0,bottom
D10,198.863668,-67.790958,278.0,bottom
D11,218.245635,-69.704904,275.0,bottom
D12,238.172647,-72.109985,271.0,bottom
D13,68.018252,-89.672065,269.0,bottom
D14,86.795338,-87.08793,265.0,bottom
D15,105.219138,-85.094261,262.0,bottom
D16,122.087044,-92.952491,260.0,bottom
D17,138.178542,-100.030037,260.0,bottom
D18,168.260192,-99.29298,280.0,bottom
D19,184.278109,-92.143883,280.0,bottom
D2,231.466883,-50.465723,300.0,bottom
D20,201.191808,-84.356544,278.0,bottom
D21,219.724599,-86.609586,275.0,bottom
D22,238.474258,-89.389359,271.0,bottom
D23,67.720547,-106.727469,269.0,bottom
D24,85.305586,-104.115877,265.0,bottom
D25,102.839269,-102.027894,262.0,bottom
D26,119.113731,-109.81499,260.0,bottom
D27,135.223726,-116.787649,260.0,bottom
D28,171.189978,-115.908656,280.0,bottom
D29,187.229257,-108.880692,280.0,bottom
D3,68.318136,-72.491682,269.0,bottom
D30,203.578632,-101.339672,278.0,bottom
D31,221.210622,-103.594884,275.0,bottom
D32,238.767337,-106.179797,271.0,bottom
D33,67.288358,-131.487695,269.0,bottom
D34,84.797164,-132.64513,265.0,bottom
D35,114.277489,-137.242692,260.0,bottom
D36,131.114189,-140.093979,260.0,bottom
D37,175.308048,-139.263375,280.0,bottom
D38,192.083419,-136.410006,280.0,bottom
D39,221.704473,-131.976006,275.0,bottom
D4,88.269748,-70.235297,265.0,bottom
D40,239.206649,-131.172938,270.0,bottom
D41,74.18201,-47.176482,150.0,bottom
D42,65.187308,-66.655159,179.0,bottom
D43,64.89231,-83.650158,179.0,bottom
D44,64.596314,-100.65416,179.0,bottom
D45,64.158998,-125.633002,179.0,bottom
D46,82.041602,-126.5628,175.0,bottom
D47,82.538604,-98.175795,175.0,bottom
D48,84.024001,-81.238,175.0,bottom
D49,85.502602,-64.305799,175.0,bottom
D5,107.572759,-68.347378,262.0,bottom
D50,105.216001,-62.261005,172.0,bottom
D51,102.849118,-79.100066,172.0,bottom
D52,100.480002,-95.918993,172.0,bottom
D53,112.190999,-131.071,170.0,bottom
D54,117.024998,-103.691001,170.0,bottom
D55,119.972001,-86.951999,170.0,bottom
D56,122.924569,-70.213644,170.0,bottom
D57,138.973566,-77.110647,170.0,bottom
D58,136.022002,-93.850002,170.0,bottom
D59,133.061571,-110.585648,170.0,bottom
D6,125.009291,-76.379599,260.0,bottom
D60,128.929569,-134.032649,170.0,bottom
D61,171.06204,-134.018565,190.0,bottom
D62,166.939037,-110.596563,190.0,bottom
D63,163.979569,-93.827356,190.0,bottom
D64,161.033564,-77.112349,190.0,bottom
D65,177.08176,-70.224003,190.0,bottom
D66,180.030757,-86.968999,190.0,bottom
D67,182.98857,-103.70435,190.0,bottom
D68,187.819761,-131.096997,190.0,bottom
D69,199.504736,-95.937003,188.0,bottom
D7,141.107788,-83.417467,260.0,bottom
D70,197.147732,-79.098004,188.0,bottom
D71,194.794738,-62.267003,188.0,bottom
D72,214.494548,-64.304712,185.0,bottom
D73,215.97176,-81.237645,185.0,bottom
D74,217.456075,-98.167094,185.0,bottom
D75,217.959693,-126.569137,185.0,bottom
D76,235.839493,-125.632609,181.0,bottom
D77,235.41231,-100.64484,181.0,bottom
D78,235.108489,-83.654608,181.0,bottom
D79,234.812489,-66.655612,181.0,bottom
D8,165.284206,-82.415342,280.0,bottom
D80,225.821013,-47.176515,210.0,bottom
D81,144.999998,-115.700001,90.0,bottom
D82,147.5,-115.7,90.0,bottom
D83,149.999998,-115.7,90.0,bottom
D84,152.5,-115.700004,90.0,bottom
D85,155.0,-115.7,90.0,bottom
D9,181.306464,-75.290869,280.0,bottom
RZ1,149.999995,-73.01,0.0,top
SW1,71.832766,-51.247651,330.0,top
SW10,195.438903,-66.920581,8.0,top
SW11,214.904591,-68.985454,5.0,top
SW12,234.895278,-71.356243,1.0,top
SW13,64.80803,-88.353343,359.0,top
SW14,83.612684,-85.922898,355.0,top
SW15,102.193895,-83.755555,352.0,top
SW16,119.153978,-91.588963,350.0,top
SW17,135.200976,-98.481966,350.0,top
SW18,164.798087,-98.484295,10.0,top
SW19,180.847531,-91.591362,10.0,top
SW2,228.168361,-51.249904,30.0,top
SW20,197.804849,-83.755141,8.0,top
SW21,216.386238,-85.920766,5.0,top
SW22,235.191971,-88.353655,1.0,top
SW23,64.511345,-105.35075,359.0,top
SW24,82.131037,-102.858206,355.0,top
SW25,99.827948,-100.59011,352.0,top
SW26,116.201959,-108.330694,350.0,top
SW27,132.248961,-115.223699,350.0,top
SW28,167.750106,-115.226031,10.0,top
SW29,183.799549,-108.333093,10.0,top
SW3,65.104723,-71.355933,359.0,top
SW30,200.17079,-100.589699,8.0,top
SW31,217.86789,-102.856075,5.0,top
SW32,235.488658,-105.351059,1.0,top
SW33,64.074339,-130.333748,359.0,top
SW34,81.635038,-131.251205,355.0,top
SW35,111.374957,-135.710695,350.0,top
SW36,128.116957,-138.662696,350.0,top
SW37,171.884104,-138.663032,10.0,top
SW38,188.625549,-135.711093,10.0,top
SW39,218.365886,-131.256075,5.0,top
SW4,85.094329,-68.987587,355.0,top
SW40,235.924656,-130.332064,1.0,top
SW5,104.559839,-66.921,352.0,top
SW6,122.105999,-74.84723,350.0,top
SW7,138.152999,-81.740229,350.0,top
SW8,161.84607,-81.742568,10.0,top
SW9,177.895511,-74.849629,10.0,top
